,particle,x,y,time step
830,31,4.31802,4.20183,9
831,32,5.46963,5.83243,9
832,33,5.20439,5.12905,9
833,34,4.38653,3.93542,9
834,35,5.11392,5.18049,9
835,36,4.97,5.00357,9
836,37,5.31597,4.49247,9
837,38,4.3852,5.26572,9
838,39,5.21845,4.69396,9
839,40,5.85171,4.5815,9
840,41,4.81301,4.44324,9
841,42,4.78875,5.33306,9
842,43,5.4347,4.56877,9
843,44,5.64683,5.71376,9
844,45,5.41115,4.64996,9
845,46,4.29719,5.0985,9
846,47,5.17599,5.26758,9
847,48,4.38967,5.33441,9
848,49,5.25474,4.89496,9
849,50,4.76736,4.70742,9
850,51,5.38939,4.3247,9
851,52,4.68553,5.38607,9
852,53,5.15094,4.9631,9
853,54,5.26337,5.06336,9
854,55,5.29675,4.45502,9
855,56,4.38981,4.79492,9
856,57,5.09667,5.96798,9
857,58,4.53908,4.2263,9
858,59,5.14573,4.80012,9
859,60,4.85955,5.0607,9
860,61,5.83582,5.23401,9
861,62,4.9609,5.15957,9
862,63,5.47095,4.43038,9
863,64,4.7925,4.66294,9
864,65,5.5548,5.58422,9
865,66,5.15323,5.40086,9
866,67,5.07131,4.38446,9
867,68,4.62555,5.04581,9
868,69,4.84646,5.21673,9
869,70,5.10763,4.68344,9
870,71,4.76582,5.01126,9
871,72,5.21563,4.12936,9
