,spot ID,Track ID,T (sec),x (micron),y (micron),Frame,Ids,squared displacement,dt,vx,vy,speed
4591,131910,58,23.316,119.853,74.003,7,,0.010608999999998852,1.0,0.0,0.0,0.0
4592,131912,58,26.647,119.853,74.003,8,,0.010608999999998852,1.0,0.0,0.0,0.0
4593,131914,58,29.978,119.853,74.003,9,,0.010608999999998852,1.0,0.0,0.0,0.0
4594,131916,58,33.309,119.853,74.003,10,,0.010608999999998852,1.0,0.0,0.0,0.0
4595,131918,58,36.64,119.853,74.003,11,,0.010608999999998852,1.0,0.0,0.0,0.0
4596,131920,58,39.97,119.853,74.003,12,,0.010608999999998852,1.0,0.0,0.0,0.0
4597,131922,58,43.301,119.853,74.003,13,,0.010608999999998852,1.0,0.0,0.0,0.0
4598,131924,58,46.632,119.853,74.003,14,,0.010608999999998852,1.0,0.0,0.0,0.0
4599,131926,58,49.963,119.853,74.003,15,,0.010608999999998852,1.0,0.0,0.0,0.0
4600,131928,58,53.294,119.853,74.003,16,,0.010608999999998852,1.0,0.0,0.0,0.0
4601,131930,58,56.625,119.853,74.003,17,,0.010608999999998852,1.0,0.0,0.0,0.0
4602,131932,58,59.956,119.853,74.003,18,,0.010608999999998852,1.0,0.0,0.0,0.0
4603,131934,58,63.287,119.853,74.003,19,,0.010608999999998852,1.0,0.0,0.0,0.0
4604,131936,58,66.617,119.853,74.003,20,,0.010608999999998852,1.0,0.0,0.0,0.0
4605,131938,58,69.948,119.853,74.003,21,,0.010608999999998852,1.0,0.0,0.0,0.0
4606,131940,58,73.279,119.853,74.003,22,,0.010608999999998852,1.0,0.0,0.0,0.0
4607,131942,58,76.61,119.853,74.003,23,,0.010608999999998852,1.0,0.0,0.0,0.0
4608,131944,58,79.941,119.853,74.003,24,,0.010608999999998852,1.0,0.0,0.0,0.0
4609,131946,58,83.272,119.75,73.934,25,,0.00476100000000036,1.0,-0.030921645151604452,-0.02071450015010586,0.037218794383355285
4610,131948,58,86.603,119.75,73.934,26,,0.00476100000000036,1.0,0.0,0.0,0.0
4611,131950,58,89.934,119.75,73.934,27,,0.00476100000000036,1.0,0.0,0.0,0.0
4612,131952,58,93.264,119.75,73.934,28,,0.00476100000000036,1.0,0.0,0.0,0.0
4613,131954,58,96.595,119.75,73.934,29,,0.00476100000000036,1.0,0.0,0.0,0.0
4614,131956,58,99.926,119.75,73.934,30,,0.00476100000000036,1.0,0.0,0.0,0.0
4615,131958,58,103.257,119.75,73.934,31,,0.00476100000000036,1.0,0.0,0.0,0.0
4616,131960,58,106.588,119.75,73.934,32,,0.00476100000000036,1.0,0.0,0.0,0.0
4617,131962,58,109.919,119.75,73.934,33,,0.00476100000000036,1.0,0.0,0.0,0.0
4618,131964,58,113.25,119.75,73.934,34,,0.00476100000000036,1.0,0.0,0.0,0.0
4619,131966,58,116.581,119.75,73.934,35,,0.00476100000000036,1.0,0.0,0.0,0.0
4620,131968,58,119.911,119.75,73.934,36,,0.00476100000000036,1.0,0.0,0.0,0.0
4621,131970,58,123.242,119.75,73.934,37,,0.00476100000000036,1.0,0.0,0.0,0.0
4622,131972,58,126.573,119.75,73.934,38,,0.00476100000000036,1.0,0.0,0.0,0.0
4623,131974,58,129.904,119.75,73.934,39,,0.00476100000000036,1.0,0.0,0.0,0.0
4624,131976,58,133.235,119.75,73.934,40,,0.00476100000000036,1.0,0.0,0.0,0.0
4625,131978,58,136.566,119.75,73.934,41,,0.00476100000000036,1.0,0.0,0.0,0.0
4626,131980,58,139.897,119.75,73.934,42,,0.00476100000000036,1.0,0.0,0.0,0.0
4627,131982,58,143.228,119.75,73.934,43,,0.00476100000000036,1.0,0.0,0.0,0.0
4628,131984,58,146.558,119.75,73.934,44,,0.00476100000000036,1.0,0.0,0.0,0.0
4629,131986,58,149.889,119.75,73.934,45,,0.00476100000000036,1.0,0.0,0.0,0.0
4630,131988,58,153.22,119.75,73.934,46,,0.00476100000000036,1.0,0.0,0.0,0.0
4631,131990,58,156.551,119.75,73.934,47,,0.00476100000000036,1.0,0.0,0.0,0.0
4632,131992,58,159.882,119.75,73.934,48,,0.00476100000000036,1.0,0.0,0.0,0.0
4633,131994,58,163.213,119.75,73.934,49,,0.00476100000000036,1.0,0.0,0.0,0.0
4634,131996,58,166.544,119.75,73.934,50,,0.00476100000000036,1.0,0.0,0.0,0.0
4635,131998,58,169.875,119.75,73.934,51,,0.00476100000000036,1.0,0.0,0.0,0.0
4636,132000,58,173.205,119.75,73.934,52,,0.00476100000000036,1.0,0.0,0.0,0.0
