xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
137.33	81.8575	0.594295	138.705	91.4463	2.19745	138.029	86.7126	1.76073	0.0070331	129.5	102.326	6.70355	4.77039	0.702564	8.87065	5.95096	0.741585	11.9162	6.47121	0.839695	1	38
85.3593	89.1482	5.24512	81.2567	82.4184	5.23025	83.766	86.5319	5.2525	0.00047109	31	35.799	5.29712	1.99989	0.925992	3.70766	1.81142	0.87253	8.97583	1.73777	0.98108	1	39
250.367	78.3029	3.45302	259.222	76.6485	3.25835	255.23	77.3934	3.31808	0.000138359	40	43.3137	4.30191	2.24084	0.853621	6.87533	1.99827	0.956832	10.6517	2.00169	0.982184	1	40
19.8301	77.7219	5.57864	12.9596	71.9356	5.60728	16.7455	75.1273	5.58432	0.000501622	38.5	39.6985	5.45552	1.93599	0.934917	4.84583	1.84435	0.924737	10.3032	1.72453	0.985893	1	41
71.0752	72.9374	3.55391	80.0221	68.783	3.61077	76.0492	70.623	3.58033	0.000371948	41	44.6274	5.04068	1.94647	0.922435	6.62045	1.90716	0.957609	11.4355	1.75424	0.988164	1	42
207.47	71.078	2.83287	217.343	64.4946	4.75333	212.669	67.6145	3.87378	0.00502262	120	104.083	7.79927	5.14013	0.752097	13.0616	8.09818	0.784603	14.6249	9.68385	0.749373	1	43
212.13	47.6089	1.41134	211.296	52.5447	1.39499	211.6	50.7667	1.40278	0.000508672	18.5	23.8995	2.18078	1.78779	0.572661	3.80124	1.8972	0.866544	5.84178	1.65806	0.958875	1	44
54.2894	56.1691	3.72529	63.6897	50.5887	3.5495	59.1356	53.3051	3.6654	0.000859612	38	48.2843	5.78828	1.85031	0.94753	6.35996	1.75187	0.961315	12.479	1.69721	0.990708	1	45
58.8057	38.2277	4.6205	58.9965	30.3312	4.71494	58.8936	34.617	4.67957	0.0073006	29	36.4853	4.97313	1.92954	0.921662	4.38172	1.81546	0.910129	9.10516	1.63611	0.983723	1	46
200.397	22.4794	4.39969	202.25	12.2742	4.6002	201.203	18.029	4.52101	0.00418071	46.5	49.2132	6.07159	2.23759	0.929614	5.43043	2.05758	0.925439	11.8363	2.07693	0.984485	1	49
20.9958	5.35772	1.86232	15.0414	19.1637	0.967964	17.9362	12.4362	1.16421	0.021662	61.5	76.669	7.21132	3.85988	0.844692	9.52296	1.83153	0.981331	17.0231	4.18099	0.969369	1	51
