,Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame,is main track,which main track id,frame range
474,5246,2,128.75,42.02,246.48,74,False,,
475,5248,2,128.75,42.02,249.82,75,False,,
476,5250,2,128.7,41.76,253.15,76,False,,
477,5252,2,128.75,41.87,256.48,77,False,,
478,5254,2,128.75,41.97,259.81,78,False,,
479,5256,2,128.65,42.23,263.14,79,False,,
480,5258,2,128.5,42.02,266.47,80,False,,
481,5260,2,128.75,41.76,269.8,81,False,,
482,5262,2,128.75,41.76,273.13,82,False,,
483,5264,2,128.91,41.76,276.46,83,False,,
484,5266,2,128.65,41.97,279.79,84,False,,
485,5268,2,128.34,42.07,283.12,85,False,,
486,5270,2,128.44,42.12,286.46,86,False,,
487,5272,2,128.34,42.54,289.79,87,False,,
488,5274,2,128.34,42.54,293.12,88,False,,
489,5276,2,128.34,42.54,296.45,89,False,,
490,5278,2,128.34,42.54,299.78,90,False,,
491,5280,2,128.34,42.54,303.11,91,False,,
492,5282,2,128.34,42.54,306.44,92,False,,
493,5284,2,128.34,42.54,309.77,93,False,,
494,5286,2,128.7,42.12,313.1,94,False,,
495,5288,2,128.7,42.12,316.43,95,False,,
496,5290,2,129.27,41.71,319.76,96,False,,
497,5292,2,128.75,42.07,323.09,97,False,,
498,5294,2,128.75,42.07,326.43,98,False,,
499,5296,2,128.65,41.66,329.76,99,False,,
500,5298,2,128.91,41.66,333.09,100,False,,
501,5300,2,128.65,42.07,336.42,101,False,,
502,5302,2,128.65,42.18,339.75,102,False,,
503,5304,2,127.82,42.8,343.08,103,False,,
504,5306,2,127.82,42.8,346.41,104,False,,
505,5308,2,127.82,42.8,349.74,105,False,,
506,5310,2,127.67,43.21,353.07,106,False,,
507,5312,2,127.51,43.68,356.4,107,False,,
508,5314,2,127.51,44.04,359.73,108,False,,
509,5316,2,127.51,44.04,363.07,109,False,,
510,5318,2,127.36,44.3,366.4,110,False,,
511,5320,2,126.37,46.01,369.73,111,False,,
512,5322,2,126.22,46.26,373.06,112,False,,
513,5324,2,125.86,46.99,376.39,113,False,,
514,5326,2,125.86,46.99,379.72,114,False,,
515,5328,2,125.86,46.99,383.05,115,False,,
516,5330,2,125.55,47.14,386.38,116,False,,
517,5332,2,125.55,47.14,389.71,117,False,,
518,5334,2,125.34,46.94,393.04,118,False,,
519,5336,2,125.44,46.78,396.37,119,False,,
520,5338,2,125.49,46.89,399.7,120,False,,
521,5340,2,125.8,47.04,403.04,121,False,,
522,5342,2,125.8,47.04,406.37,122,False,,
523,5344,2,125.8,47.35,409.7,123,False,,
524,5346,2,125.75,47.14,413.03,124,False,,
525,5348,2,125.65,47.51,416.36,125,False,,
526,5350,2,125.65,47.51,419.69,126,False,,
527,5352,2,125.49,48.02,423.02,127,False,,
528,5354,2,125.49,48.39,426.35,128,False,,
529,5356,2,125.49,48.39,429.68,129,False,,
530,5358,2,125.49,48.18,433.01,130,False,,
531,5360,2,125.49,48.18,436.34,131,False,,
532,5362,2,125.49,48.18,439.68,132,False,,
533,5364,2,125.49,48.18,443.01,133,False,,
534,5366,2,125.49,48.18,446.34,134,False,,
535,5368,2,125.49,47.4,449.67,135,False,,
536,5370,2,125.49,47.4,453.0,136,False,,
537,5372,2,125.49,47.56,456.33,137,False,,
