Spot ID,Track ID,x (micrón),y (micrón),t (sec),Frame
8335,10,69.23317283,55.79167163,553.5374271,166
8339,10,69.26750616,56.06633832,556.8719899,167
8343,10,69.31900617,56.85600506,560.2065528,168
8347,10,69.01000614,57.25083843,563.5411156,169
8351,10,68.94133947,57.25083843,566.8756784,170
8355,10,68.83833946,57.3195051,570.2102412,171
8359,10,68.71817278,57.59417179,573.544804,172
8363,10,68.52933943,58.33233852,576.8793668,173
8367,10,68.47783943,58.58983855,580.2139296,174
8369,10,68.45638109,58.60700522,583.5484925,175
8371,10,68.5078811,58.50400521,586.8830553,176
8373,10,68.75250612,57.42250511,590.2176181,177
8375,10,68.82975613,57.22938009,593.5521809,178
8377,10,68.90700613,57.10063008,596.8867437,179
8379,10,69.12588115,56.22513,600.2213065,180
8381,10,68.90700613,56.19938,603.5558693,181
8383,10,68.80400612,56.10925499,606.8904322,182
8387,10,68.73963112,55.90325498,610.224995,183
8393,10,68.72675612,54.92475489,613.5595578,184
8397,10,68.64950611,54.29387983,616.8941206,185
8399,10,68.64950611,54.01062981,620.2286834,186
8401,10,68.68813111,53.59862977,623.5632462,187
8405,10,68.70100611,53.45700476,626.897809,188
8407,10,68.72675612,52.73600469,630.2323719,189
8411,10,68.80400612,52.10512964,633.5669347,190
8415,10,69.25463116,51.16525455,636.9014975,191
8419,10,69.6151312,50.72750451,640.2360603,192
8423,10,69.75675621,50.65025451,643.5706231,193
8425,10,69.96275623,50.44425449,646.9051859,194
8427,10,69.84688122,50.48287949,650.2397487,195
8431,10,70.27175625,50.22537947,653.5743116,196
8433,10,70.61938129,50.34125448,656.9088744,197
8437,10,70.90263131,50.5987545,660.2434372,198
8439,10,71.14725633,50.41850449,663.578,199
8444,11,69.05292281,35.64658651,0,0
8448,11,68.9241728,35.80108652,3.334562814,1
8452,11,68.91558947,35.91266986,6.669125628,2
8456,11,68.89413113,35.86975319,10.00368844,3
8458,11,68.82975613,36.06287821,13.33825126,4
8462,11,68.75250612,36.06287821,16.67281407,5
8464,11,68.71388112,36.02425321,20.00737688,6
8468,11,68.94563114,35.71525318,23.3419397,7
8472,11,68.94563114,35.67662818,26.67650251,8
8474,11,68.86838113,35.9083782,30.01106533,9
8478,11,68.68813111,36.11437821,33.34562814,10
8482,11,68.5722561,36.28175323,36.68019095,11
8486,11,68.63663111,36.30750323,40.01475377,12
8490,11,68.73963112,36.10150321,43.34931658,13
8494,11,68.93275614,35.80537819,46.6838794,14
8498,11,68.86838113,35.85687819,50.01844221,15
8502,11,68.98425614,35.70237818,53.35300503,16
8506,11,69.6537562,34.90412811,56.68756784,17
8510,11,69.51213119,35.16162813,60.02213065,18
8514,11,69.76963121,34.69812809,63.35669347,19
8518,11,69.89838122,34.56937808,66.69125628,20
8522,11,69.92413122,34.50500307,70.0258191,21
8526,11,70.29750626,34.18312804,73.36038191,22
8532,11,70.36188126,34.04150303,76.69494472,23
8536,11,70.45200627,33.83550301,80.02950754,24
8540,11,70.87688131,33.44925298,83.36407035,25
8544,11,71.10863133,33.17887795,86.69863317,26
8548,11,71.21163134,33.01150294,90.03319598,27
8550,11,71.30175635,33.02437794,93.36775879,28
8552,11,71.45625636,32.66387791,96.70232161,29
8554,11,71.79100639,32.12312786,100.0368844,30
8556,11,72.33175644,31.32487779,103.3714472,31
8562,11,72.26738143,31.31200279,106.7060101,32
8564,11,72.35750644,30.83562774,110.0405729,33
8568,11,72.38325644,30.73262774,113.3751357,34
8570,11,72.35750644,30.69400273,116.7096985,35
8574,11,72.35750644,30.68112773,120.0442613,36
8578,11,72.39613144,30.65537773,123.3788241,37
8580,11,72.40900644,30.59100272,126.7133869,38
8584,11,72.28025643,30.83562774,130.0479497,39
8588,11,72.29313143,30.86137775,133.3825126,40
8590,11,72.34463144,30.77125274,136.7170754,41
8592,11,72.37038144,30.64250273,140.0516382,42
8594,11,72.35750644,30.53950272,143.386201,43
8598,11,72.37038144,30.39787771,146.7207638,44
