#vx_post  vy_post  v_post
-3.03265 8.87853 9.38218
5.3179 7.89375 9.51795
12.1875 0.723568 12.2089
0 0 0
0.0423326 -0.0392663 0.0577399
-5.92301 -7.32199 9.41773
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-9.07884 -7.96014 12.0743
0 0 0
0 0 0
-6.63058 -0.431302 6.6446
-4.57362 7.34831 8.65538
5.03223 7.73825 9.23059
-0.456203 -1.0078 1.10625
2.40883 3.29502 4.08161
0 0 0
0 0 0
0 0 0
-8.38187 -0.631726 8.40564
0 0 0
5.4906 11.1108 12.3934
0 0 0
0 0 0
0 0 0
0 0 0
-1.58182 2.06416 2.60056
-8.24872 -0.703502 8.27866
-0.387518 0.585595 0.702205
-4.87685 -1.40251 5.07452
2.92948 6.65463 7.2709
0 0 0
-1.91135 9.04689 9.24659
0 0 0
0 0 0
5.79515 6.6097 8.79044
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-4.78463 -1.03842 4.89602
0 0 0
-11.9357 -8.18228 14.471
0 0 0
-6.89962 -3.18152 7.59782
6.17777 5.2538 8.1097
0 0 0
1.6217 4.98411 5.24131
0 0 0
0 0 0
0 0 0
1.3282 2.35709 2.70554
0 0 0
0 0 0
0 0 0
6.38566 5.16633 8.21387
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-9.44291 -4.48924 10.4557
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
3.03973 6.53597 7.20825
-0.109783 -0.240607 0.264469
-3.87534 -11.4518 12.0898
0 0 0
0 0 0
-0.982834 -1.07275 1.45491
0.282146 -1.84275 1.86423
7.0753 9.0969 11.5245
0 0 0
0 0 0
1.34272 -2.73853 3.04999
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-9.24367 -3.26817 9.8044
0 0 0
-0.727665 2.88785 2.97812
0 0 0
0 0 0
5.39368 1.38875 5.56959
0 0 0
6.48055 3.20915 7.23161
0 0 0
10.0687 12.1126 15.751
0 0 0
-2.93248 -3.47751 4.54891
4.45498 4.831 6.57156
7.23479 6.88115 9.98461
0 0 0
10.0915 3.09658 10.5559
0 0 0
0 0 0
0 0 0
6.3768 10.9235 12.6486
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
3.7825 -0.225393 3.78921
0 0 0
0 0 0
0 0 0
2.23235 4.29601 4.84139
0 0 0
-1.43454 -2.03208 2.48742
0 0 0
0 0 0
0 0 0
0 0 0
2.27888 1.77429 2.88815
1.2647 0.140567 1.27248
6.12046 -6.53023 8.95008
-4.22798 0.376353 4.2447
0.846043 -1.39649 1.63278
0.341544 -0.520392 0.622463
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
7.09661 2.35703 7.4778
0 0 0
2.62713 4.70841 5.39175
0 0 0
0.105163 -0.550551 0.560505
3.59768 3.79548 5.22963
2.59728 -2.23181 3.42445
-1.85857 -8.1861 8.39443
0 0 0
0 0 0
2.36422 1.4483 2.77256
0 0 0
-8.71848 -4.04595 9.61153
0 0 0
0.453464 -0.669925 0.808968
0 0 0
0 0 0
3.63218 7.35605 8.20391
3.78493 0.362087 3.80221
0 0 0
0 0 0
0 0 0
0 0 0
-6.68531 -7.06487 9.72655
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-1.22303 3.53023 3.73609
0 0 0
0 0 0
-4.663 -3.37831 5.75818
-8.1498 -5.21757 9.67689
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
4.01796 6.12316 7.32373
0 0 0
0 0 0
0 0 0
-5.2014 -3.28402 6.15137
0 0 0
-0.35805 4.49069 4.50494
-13.3893 -5.90911 14.6353
0.0103618 -0.0151434 0.0183491
0 0 0
0 0 0
-0.925409 2.68343 2.83851
0 0 0
0 0 0
-2.85985 -3.06731 4.1937
1.3894 -1.99428 2.43055
0 0 0
0 0 0
0 0 0
-0.873991 -4.82589 4.90439
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.471088 -3.31211 3.34544
2.56683 3.20979 4.10991
-0.0115741 4.22741 4.22743
0 0 0
0 0 0
1.94426 2.98097 3.55898
5.99184 1.09648 6.09134
0 0 0
0 0 0
0.143476 0.216955 0.260105
0 0 0
2.68263 2.8327 3.90137
12.0306 14.9679 19.2035
-1.92711 2.1687 2.90121
0 0 0
0 0 0
0.190647 0.582187 0.612608
0 0 0
0 0 0
-9.75834 -0.906618 9.80036
-4.55754 -7.35485 8.65245
8.67937 9.23013 12.6699
3.73346 5.91785 6.99712
-5.21201 -12.4951 13.5385
0 0 0
1.1763 2.26404 2.55138
6.28169 1.30706 6.41623
1.7998 3.86883 4.26698
0 0 0
0 0 0
0 0 0
3.06334 3.19585 4.42691
0 0 0
-0.51125 3.60962 3.64565
0 0 0
2.3946 -1.17105 2.66561
0 0 0
-6.5859 -2.31248 6.98009
4.03336 -6.77955 7.88861
0 0 0
3.52925 0.776486 3.61366
2.97161 3.43985 4.54567
0 0 0
0 0 0
0 0 0
-1.94245 -0.798106 2.10002
6.79054 1.74378 7.01086
0 0 0
0 0 0
0 0 0
0 0 0
3.60194 3.71627 5.17539
0 0 0
0 0 0
0 0 0
4.07868 0.439953 4.10234
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
8.56813 -2.70648 8.98542
0 0 0
0 0 0
0 0 0
0 0 0
0.0231924 0.0511503 0.0561627
5.4251 6.01949 8.10345
0 0 0
0 0 0
0 0 0
8.62487 11.1557 14.101
0 0 0
13.8884 7.71887 15.8893
0 0 0
0.768417 -0.108548 0.776046
0 0 0
0 0 0
0 0 0
-0.0446971 -3.54312 3.5434
0 0 0
0 0 0
-1.8085 -8.9661 9.14667
0 0 0
0 0 0
4.2695 0.473935 4.29572
0 0 0
6.52639 7.05271 9.60909
-0.54786 -3.22944 3.27558
6.02367 4.49511 7.51603
2.22209 2.26985 3.17646
2.97406 5.56129 6.30658
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
4.5841 6.11101 7.63927
0 0 0
0 0 0
1.90469 -2.42722 3.08533
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
7.62643 10.2638 12.7871
0 0 0
0 0 0
0 0 0
0 0 0
6.85229 -5.79323 8.97304
0 0 0
3.28635 -0.0898532 3.28758
0 0 0
-0.266121 -0.551484 0.612336
-5.65318 -2.22856 6.07659
-0.576167 -7.374 7.39648
-0.439663 -4.79708 4.81719
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
8.86673 11.5488 14.56
0.194975 4.5034 4.50762
8.39277 0.739471 8.42528
0 0 0
0 0 0
0 0 0
0 0 0
4.01956 0.59254 4.063
0 0 0
-0.774385 -1.77062 1.93255
-2.52672 1.57867 2.97935
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-1.20751 3.14537 3.36919
